"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\MobileNavigation.module.css", "CSS", 0, 0, 55, 0, 16, 71
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\modal\Modal.js", "JavaScript", 24, 0, 0, 0, 5, 29
"d:\Grozev\xampp\htdocs\online-trans-react\src\components\mobile-components\modal\Modal.module.css", "CSS", 0, 0, 19, 0, 3, 22
"d:\Grozev\xampp\htdocs\online-trans-react\src\hooks\use-document-selection.js", "JavaScript", 56, 0, 0, 15, 10, 81
"d:\Grozev\xampp\htdocs\online-trans-react\src\hooks\use-input.js", "JavaScript", 131, 0, 0, 29, 10, 170
"d:\Grozev\xampp\htdocs\online-trans-react\src\hooks\use-mouse-events.js", "JavaScript", 40, 0, 0, 0, 4, 44
"d:\Grozev\xampp\htdocs\online-trans-react\src\hooks\use-window-size.js", "JavaScript", 36, 0, 0, 0, 8, 44
"d:\Grozev\xampp\htdocs\online-trans-react\src\index.css", "CSS", 0, 0, 12, 0, 2, 14
"d:\Grozev\xampp\htdocs\online-trans-react\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"d:\Grozev\xampp\htdocs\online-trans-react\src\logo.svg", "XML", 0, 1, 0, 0, 0, 1
"d:\Grozev\xampp\htdocs\online-trans-react\src\reducers\app-state-reducer.js", "JavaScript", 61, 0, 0, 1, 5, 67
"d:\Grozev\xampp\htdocs\online-trans-react\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"d:\Grozev\xampp\htdocs\online-trans-react\src\resources\menu_icon.svg", "XML", 0, 1, 0, 0, 0, 1
"d:\Grozev\xampp\htdocs\online-trans-react\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\commands\add-field.js", "JavaScript", 10, 0, 0, 3, 4, 17
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\commands\add-row.js", "JavaScript", 10, 0, 0, 4, 5, 19
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\commands\delete-selection.js", "JavaScript", 53, 0, 0, 21, 13, 87
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\commands\merge-fields.js", "JavaScript", 26, 0, 0, 8, 3, 37
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\commands\modify-field.js", "JavaScript", 18, 0, 0, 7, 5, 30
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\commands\split-field.js", "JavaScript", 18, 0, 0, 10, 5, 33
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\helpers\deconstruct-id.js", "JavaScript", 5, 0, 0, 2, 2, 9
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\helpers\field-prop.js", "JavaScript", 6, 0, 0, 2, 1, 9
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\helpers\get-field-signature.js", "JavaScript", 18, 0, 0, 1, 3, 22
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\index.js", "JavaScript", 8, 0, 0, 0, 2, 10
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\input-data.js", "JavaScript", 210, 0, 0, 24, 27, 261
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\systems-context.js", "JavaScript", 129, 0, 0, 81, 14, 224
"d:\Grozev\xampp\htdocs\online-trans-react\src\store\systems.js", "JavaScript", 6, 0, 0, 0, 2, 8
"Total", "-", 1420, 2, 636, 279, 348, 2685
